,queried_protein,hit_protein,length,evalue,score,gaps,sequence
0,A0A386KZ50,A0A386KZ50,482,0.0,2578.0,0,sp|A0A386KZ50.1| RecName: Full=Magnesium-dependent glutamate N-prenyltransferase; AltName: Full=Domoic acid biosynthesis cluster protein A; Short=PmDabA [Pseudo-nitzschia multiseries]
1,A0A386KZ50,A0A4D6IA24,439,0.0,1583.0,6,sp|A0A4D6IA24.1| RecName: Full=Magnesium-dependent glutamate N-prenyltransferase; AltName: Full=Kainic acid biosynthesis cluster protein A; Short=DsKabA [Digenea simplex]
2,A0A386KZ50,D8RNZ9,368,0.0896881,88.0,11,"sp|D8RNZ9.1| RecName: Full=(3S,6E)-nerolidol synthase; AltName: Full=Microbial Terpene synthase-like protein 22; Short=SmMTPSL22; AltName: Full=S-linalool synthase [Selaginella moellendorffii]"
3,A0A386KZ50,B8PD44,336,0.106628,88.0,2,sp|B8PD44.1| RecName: Full=Sesquiterpene synthase 10; AltName: Full=Terpene cyclase 10 [Postia placenta Mad-698-R]
4,A0A386KZ50,Q65F80,341,0.564319,82.0,3,sp|Q65F80.1| RecName: Full=Methionine import ATP-binding protein MetN 2 [Bacillus licheniformis DSM 13 = ATCC 14580]
5,A0A386KZ50,H2IFE7,480,0.909613,81.0,9,"sp|H2IFE7.1| RecName: Full=3,6-anhydro-alpha-L-galactose dehydrogenase; Short=AHG dehydrogenase [Vibrio sp. EJY3]"
6,A0A386KZ50,D9XD61,343,3.03703,76.0,6,"sp|D9XD61.1| RecName: Full=7-epi-alpha-eudesmol synthase ((2E,6E)-farnesyl diphosphate cyclizing); AltName: Full=Terpene cyclase; AltName: Full=Type I terpene cyclase [Streptomyces viridochromogenes DSM 40736]"
7,A0A386KZ50,A8NU13,345,4.51249,74.0,0,sp|A8NU13.1| RecName: Full=Linoleate 10R-lipoxygenase COP4; AltName: Full=(+)-sativene synthase; AltName: Full=Beta-copaene synthase; AltName: Full=Beta-cubebene synthase; AltName: Full=Sesquiterpene synthase COP4 [Coprinopsis cinerea okayama7#130]
8,A0A386KZ50,P0CO93,1191,5.44285,75.0,3,sp|P0CO93.1| RecName: Full=DNA mismatch repair protein MSH3; AltName: Full=MutS protein homolog 3 [Cryptococcus neoformans var. neoformans B-3501A]
9,A0A386KZ50,P0CO92,1191,5.53679,75.0,3,sp|P0CO92.1| RecName: Full=DNA mismatch repair protein MSH3; AltName: Full=MutS protein homolog 3 [Cryptococcus neoformans var. neoformans JEC21]
0,A0A386KZ95,A0A386KZ95,373,0.0,1976.0,0,sp|A0A386KZ95.1| RecName: Full=Alpha-ketoglutarate dependent kainoid synthase; Short=Alpha-KG dependent kainoid synthase; AltName: Full=Domoic acid biosynthesis cluster protein C; Short=PmDabC [Pseudo-nitzschia multiseries]
1,A0A386KZ95,A0A4D6IA61,360,2.7906e-156,1147.0,5,sp|A0A4D6IA61.1| RecName: Full=Alpha-ketoglutarate dependent kainoid synthase; Short=Alpha-KG dependent kainoid synthase; AltName: Full=Kainic acid biosynthesis cluster protein C; Short=DsKabC [Digenea simplex]
2,A0A386KZ95,Q03047,314,3.17136e-16,200.0,20,sp|Q03047.1| RecName: Full=Deacetoxycephalosporin C synthase; Short=DAOCS; AltName: Full=Expandase [Amycolatopsis lactamdurans]
3,A0A386KZ95,P42220,318,6.18644e-14,183.0,6,sp|P42220.3| RecName: Full=Deacetoxycephalosporin C hydroxylase; AltName: Full=Beta-lactam hydroxylase; AltName: Full=Deacetylcephalosporin C synthase; Short=DACS [Streptomyces clavuligerus]
4,A0A386KZ95,P42219,310,8.19978e-14,182.0,12,sp|P42219.1| RecName: Full=Deacetoxycephalosporin C hydroxylase; AltName: Full=Beta-lactam hydroxylase; AltName: Full=Deacetylcephalosporin C synthase; Short=DACS [Amycolatopsis lactamdurans]
5,A0A386KZ95,P18548,311,4.45494e-12,169.0,9,sp|P18548.1| RecName: Full=Deacetoxycephalosporin C synthase; Short=DAOCS; AltName: Full=Expandase [Streptomyces clavuligerus]
6,A0A386KZ95,Q9ZSA7,348,4.56268e-11,162.0,32,sp|Q9ZSA7.1| RecName: Full=Protein DMR6-LIKE OXYGENASE 2; AltName: Full=2-oxoglutarate (2OG)-Fe(II) oxygenase-like protein DLO2; AltName: Full=Salicylate 3-hydroxylase DLO2; Short=S3H DLO2; Short=SA 3-hydroxylase DLO2; Short=Salicylic acid 3-hydroxylase DLO2 [Arabidopsis thaliana]
7,A0A386KZ95,P11935,332,4.33698e-10,154.0,10,sp|P11935.1| RecName: Full=Cephalosporin biosynthesis expandase/hydroxylase; Includes: RecName: Full=Deacetoxycephalosporin C synthase; Short=DAOCS; AltName: Full=Expandase; Includes: RecName: Full=Deacetoxycephalosporin C hydroxylase; AltName: Full=Beta-lactam hydroxylase; AltName: Full=Deacetylcephalosporin C synthase; Short=DACS [Acremonium chrysogenum]
8,A0A386KZ95,Q41452,349,1.78594e-09,149.0,32,sp|Q41452.1| RecName: Full=Flavonol synthase/flavanone 3-hydroxylase; Short=FLS [Solanum tuberosum]
9,A0A386KZ95,O80449,353,1.1307e-08,143.0,37,sp|O80449.1| RecName: Full=Jasmonate-induced oxygenase 4; AltName: Full=2-oxoglutarate-dependent dioxygenase JOX4; AltName: Full=Anthocyanidin synthase; AltName: Full=Jasmonic acid oxidase 4 [Arabidopsis thaliana]
10,A0A386KZ95,Q07512,348,1.50644e-08,142.0,33,sp|Q07512.1| RecName: Full=Flavonol synthase/flavanone 3-hydroxylase; Short=FLS [Petunia x hybrida]
11,A0A386KZ95,Q54243,329,2.25728e-08,140.0,57,sp|Q54243.1| RecName: Full=Isopenicillin N synthase; Short=IPNS [Streptomyces griseus]
12,A0A386KZ95,P27744,328,6.30961e-08,136.0,49,sp|P27744.1| RecName: Full=Isopenicillin N synthase; Short=IPNS [Amycolatopsis lactamdurans]
13,A0A386KZ95,Q96323,356,1.54443e-07,134.0,42,sp|Q96323.1| RecName: Full=Leucoanthocyanidin dioxygenase; Short=LDOX; Short=Leucocyanidin oxygenase; AltName: Full=Anthocyanidin synthase; Short=ANS; AltName: Full=Leucoanthocyanidin hydroxylase; AltName: Full=Protein TANNIN DEFICIENT SEED 4; Short=TDS4; AltName: Full=Protein TRANSPARENT TESTA 11; Short=TT11; AltName: Full=Protein TRANSPARENT TESTA 17; Short=TT17; AltName: Full=Protein TRANSPARENT TESTA 18; Short=TT18 [Arabidopsis thaliana]
14,A0A386KZ95,Q9M547,334,1.89757e-07,133.0,31,sp|Q9M547.1| RecName: Full=Flavonol synthase/flavanone 3-hydroxylase; Short=FLS [Eustoma grandiflorum]
15,A0A386KZ95,Q7XZQ6,337,2.14005e-07,132.0,46,sp|Q7XZQ6.1| RecName: Full=Flavonol synthase/flavanone 3-hydroxylase [Petroselinum crispum]
16,A0A386KZ95,P08703,331,2.41277e-07,132.0,60,sp|P08703.1| RecName: Full=Isopenicillin N synthase; Short=IPNS; AltName: Full=Isopenicillin cyclase; AltName: Full=Penicillin biosynthetis cluster protein ipnA [Penicillium chrysogenum]
17,A0A386KZ95,Q39224,358,2.59389e-07,132.0,33,sp|Q39224.1| RecName: Full=Protein SRG1; Short=AtSRG1; AltName: Full=Protein SENESCENCE-RELATED GENE 1 [Arabidopsis thaliana]
18,A0A386KZ95,P12438,333,9.22545e-07,127.0,59,sp|P12438.1| RecName: Full=Isopenicillin N synthase; Short=IPNS [Streptomyces microflavus]
19,A0A386KZ95,P51091,357,9.48801e-07,127.0,62,sp|P51091.1| RecName: Full=Leucoanthocyanidin dioxygenase; Short=LDOX; Short=Leucocyanidin oxygenase; AltName: Full=Anthocyanidin synthase; AltName: Full=Leucoanthocyanidin hydroxylase [Malus domestica]
0,A0A386KZI3,A0A386KZI3,559,0.0,3014.0,0,sp|A0A386KZI3.1| RecName: Full=N-geranyl-L-glutamate oxidase; AltName: Full=Domoic acid biosynthesis cluster protein D; Short=PmDabD [Pseudo-nitzschia multiseries]
1,A0A386KZI3,P29981,511,5.29345e-51,471.0,61,sp|P29981.1| RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 [Blaberus discoidalis]
2,A0A386KZI3,Q86W10,505,5.55034e-51,470.0,40,sp|Q86W10.1| RecName: Full=Cytochrome P450 4Z1; AltName: Full=CYPIVZ1; AltName: Full=Laurate 7-monooxygenase [Homo sapiens]
3,A0A386KZI3,Q8N118,509,3.14879e-50,465.0,40,sp|Q8N118.1| RecName: Full=Cytochrome P450 4X1; AltName: Full=CYPIVX1 [Homo sapiens]
4,A0A386KZI3,Q9GJX5,504,6.0754e-50,463.0,58,sp|Q9GJX5.1| RecName: Full=Taurochenodeoxycholic 6 alpha-hydroxylase; AltName: Full=CYPIVA21; AltName: Full=Cytochrome P450 4A21 [Sus scrofa]
5,A0A386KZI3,P10611,510,2.70696e-49,459.0,37,sp|P10611.3| RecName: Full=Cytochrome P450 4A4; AltName: Full=CYPIVA4; AltName: Full=Cytochrome P450-P-2; AltName: Full=Prostaglandin omega-hydroxylase; Flags: Precursor [Oryctolagus cuniculus]
6,A0A386KZI3,Q8SPK0,504,1.5637e-48,453.0,60,sp|Q8SPK0.1| RecName: Full=Cytochrome P450 4A25; AltName: Full=CYPIVA25; AltName: Full=Fatty acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase [Sus scrofa]
7,A0A386KZI3,P14580,510,1.93293e-48,453.0,43,sp|P14580.1| RecName: Full=Cytochrome P450 4A6; AltName: Full=CYPIVA6; AltName: Full=Cytochrome P450-KA-1; AltName: Full=Lauric acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase; Flags: Precursor [Oryctolagus cuniculus]
8,A0A386KZI3,Q6A152,507,6.81749e-48,448.0,43,sp|Q6A152.1| RecName: Full=Cytochrome P450 4X1; AltName: Full=CYPIVX1 [Mus musculus]
9,A0A386KZI3,P14579,511,9.43775e-48,448.0,42,sp|P14579.1| RecName: Full=Cytochrome P450 4A5; AltName: Full=CYPIVA5; AltName: Full=Lauric acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase; Flags: Precursor [Oryctolagus cuniculus]
10,A0A386KZI3,P08516,509,1.68589e-47,446.0,51,sp|P08516.2| RecName: Full=Cytochrome P450 4A10; AltName: Full=CYPIVA10; AltName: Full=Cytochrome P450-LA-omega 1; AltName: Full=Cytochrome P452; AltName: Full=Lauric acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase [Rattus norvegicus]
11,A0A386KZI3,P14581,511,6.6192e-47,442.0,43,sp|P14581.1| RecName: Full=Cytochrome P450 4A7; AltName: Full=CYPIVA7; AltName: Full=Cytochrome P450-KA-2; AltName: Full=Lauric acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase; Flags: Precursor [Oryctolagus cuniculus]
12,A0A386KZI3,P20816,504,7.21956e-47,441.0,25,sp|P20816.2| RecName: Full=Cytochrome P450 4A2; AltName: Full=CYPIVA2; AltName: Full=Cytochrome P-450 K-2; AltName: Full=Cytochrome P450 K-5; AltName: Full=Cytochrome P450-LA-omega 2; AltName: Full=Lauric acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase; Flags: Precursor [Rattus norvegicus]
13,A0A386KZI3,Q64581,497,7.78112e-47,440.0,35,sp|Q64581.1| RecName: Full=Cytochrome P450 3A18; AltName: Full=CYPIIIA18; AltName: Full=Cytochrome P450(6)beta-2 [Rattus norvegicus]
14,A0A386KZI3,Q8SPK1,504,1.41904e-46,439.0,66,sp|Q8SPK1.1| RecName: Full=Cytochrome P450 4A24; AltName: Full=CYPIVA24; AltName: Full=Fatty acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase [Sus scrofa]
15,A0A386KZI3,Q29496,503,6.25422e-46,434.0,53,sp|Q29496.1| RecName: Full=Cytochrome P450 3A24; AltName: Full=CYPIIIA24 [Ovis aries]
16,A0A386KZI3,Q02928,519,1.19628e-45,433.0,20,sp|Q02928.1| RecName: Full=Cytochrome P450 4A11; AltName: Full=20-hydroxyeicosatetraenoic acid synthase; Short=20-HETE synthase; AltName: Full=CYP4AII; AltName: Full=CYPIVA11; AltName: Full=Cytochrome P-450HK-omega; AltName: Full=Cytochrome P450HL-omega; AltName: Full=Fatty acid omega-hydroxylase; AltName: Full=Lauric acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase; Flags: Precursor [Homo sapiens]
17,A0A386KZI3,Q8K4D6,507,1.27715e-45,432.0,45,sp|Q8K4D6.1| RecName: Full=Cytochrome P450 4X1; AltName: Full=CYPIVX1 [Rattus norvegicus]
18,A0A386KZI3,P20817,507,2.3574e-45,430.0,23,sp|P20817.2| RecName: Full=Cytochrome P450 4A14; AltName: Full=CYPIVA14; AltName: Full=Cytochrome P450-LA-omega 3; AltName: Full=Lauric acid omega-hydroxylase; AltName: Full=Long-chain fatty acid omega-monooxygenase; Flags: Precursor [Rattus norvegicus]
19,A0A386KZI3,Q964T1,501,1.30752e-44,425.0,46,sp|Q964T1.1| RecName: Full=Cytochrome P450 4c21; AltName: Full=CYPIVC21 [Blattella germanica]
0,A0A386L1Q6,A0A386L1Q6,249,0.0,1353.0,0,sp|A0A386L1Q6.1| RecName: Full=Domoic acid biosynthesis cluster protein B; Short=PmDabB [Pseudo-nitzschia multiseries]
1,A0A386L1Q6,P27206,3587,0.880884,78.0,9,sp|P27206.4| RecName: Full=Surfactin synthase subunit 1 [Bacillus subtilis subsp. subtilis str. 168]
2,A0A386L1Q6,Q96W30,654,1.35019,76.0,6,sp|Q96W30.2| RecName: Full=Heat shock 70 kDa protein 2 [Paracoccidioides lutzii Pb01]
3,A0A386L1Q6,Q05944,654,1.41139,76.0,6,sp|Q05944.1| RecName: Full=Heat shock 70 kDa protein [Hydra vulgaris]
4,A0A386L1Q6,Q02LI9,409,1.83307,74.0,4,sp|Q02LI9.1| RecName: Full=Serine/threonine transporter SstT; AltName: Full=Na(+)/serine-threonine symporter [Pseudomonas aeruginosa UCBPP-PA14]
5,A0A386L1Q6,Q9I273,409,1.88277,74.0,4,sp|Q9I273.1| RecName: Full=Serine/threonine transporter SstT; AltName: Full=Na(+)/serine-threonine symporter [Pseudomonas aeruginosa PAO1]
6,A0A386L1Q6,B7VA62,409,1.89964,74.0,4,sp|B7VA62.1| RecName: Full=Serine/threonine transporter SstT; AltName: Full=Na(+)/serine-threonine symporter [Pseudomonas aeruginosa LESB58]
7,A0A386L1Q6,P40918,643,3.59865,72.0,6,sp|P40918.1| RecName: Full=Heat shock 70 kDa protein; AltName: Full=Allergen Cla h IV; AltName: Allergen=Cla h 4 [Cladosporium herbarum]
8,A0A386L1Q6,Q00043,705,6.66295,70.0,6,sp|Q00043.1| RecName: Full=Heat shock 70 kDa protein [Histoplasma capsulatum]
9,A0A386L1Q6,Q9KNC9,405,7.20501,70.0,1,sp|Q9KNC9.1| RecName: Full=Serine/threonine transporter SstT; AltName: Full=Na(+)/serine-threonine symporter [Vibrio cholerae O1 biovar El Tor str. N16961]
10,A0A386L1Q6,P27024,298,8.00736,69.0,8,sp|P27024.1| RecName: Full=Major surface glycoprotein G; AltName: Full=Attachment glycoprotein G; AltName: Full=Membrane-bound glycoprotein; Short=mG; Contains: RecName: Full=Mature secreted glycoprotein G; Short=Mature sG [Human respiratory syncytial virus (strain RSB6190)]
0,A0T097,A0T097,351,0.0,1842.0,0,sp|A0T097.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Phaeodactylum tricornutum CCAP 1055/1]
1,A0T097,P49478,351,0.0,1821.0,0,sp|P49478.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Trieres chinensis]
2,A0T097,B2XT21,351,0.0,1818.0,0,sp|B2XT21.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Heterosigma akashiwo NIES-293] >sp|B2XTH7.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Heterosigma akashiwo CCMP452]
3,A0T097,A0T0T0,351,0.0,1801.0,0,sp|A0T0T0.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Thalassiosira pseudonana]
4,A0T097,Q6B918,351,0.0,1771.0,0,sp|Q6B918.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Gracilaria tenuistipitata var. liui]
5,A0T097,P51357,351,0.0,1765.0,0,sp|P51357.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Porphyra purpurea]
6,A0T097,Q4G395,351,0.0,1759.0,0,sp|Q4G395.1| RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein [Emiliania huxleyi]
