Hit,Protein1,Protein2,E,Score,Organism,concat1,concat2
4,A0T0B8,O78416,5.5e-128,430.0,Guillardia theta,A0T0B8O78416,O78416A0T0B8
5,A0T0B8,Q9TL31,1.8e-126,425.1,Nephroselmis olivacea,A0T0B8Q9TL31,Q9TL31A0T0B8
6,A0T0B8,P00165,1.1e-125,422.5,Spinacia oleracea,A0T0B8P00165,P00165A0T0B8
7,A0T0B8,Q6YXN2,4.8e-125,420.4,Physcomitrium patens,A0T0B8Q6YXN2,Q6YXN2A0T0B8
8,A0T0B8,Q71KN3,4.9e-125,420.4,Klebsormidium bilatum,A0T0B8Q71KN3,Q71KN3A0T0B8
9,A0T0B8,Q4G3F8,6.8e-125,419.9,Emiliania huxleyi,A0T0B8Q4G3F8,Q4G3F8A0T0B8
10,A0T0B8,P06247,7.0e-125,419.9,Nicotiana tabacum,A0T0B8P06247,P06247A0T0B8
11,A0T0B8,Q49KW8,7.4e-125,419.8,Eucalyptus globulus subsp. globulus,A0T0B8Q49KW8,Q49KW8A0T0B8
12,A0T0B8,P06248,8.1e-125,419.7,Marchantia polymorpha,A0T0B8P06248,P06248A0T0B8
13,A0T0B8,P0C8M6,8.5e-125,419.6,Synechococcus elongatus,A0T0B8P0C8M6,P0C8M6A0T0B8
14,A0T0B8,P0C8M7,8.5e-125,419.6,Thermosynechococcus elongatus (strain BP-1),A0T0B8P0C8M7,P0C8M7A0T0B8
15,A0T0B8,Q9MTJ5,9.2e-125,419.5,Oenothera elata subsp. hookeri,A0T0B8Q9MTJ5,Q9MTJ5A0T0B8
16,A0T0B8,Q09WY7,1.0e-124,419.3,Morus indica,A0T0B8Q09WY7,Q09WY7A0T0B8
17,A0T0B8,P56773,1.3e-124,419.0,Arabidopsis thaliana,A0T0B8P56773,P56773A0T0B8
18,A0T0B8,Q09ME7,1.7e-124,418.6,Citrus sinensis,A0T0B8Q09ME7,Q09ME7A0T0B8
19,A0T0B8,Q1KXS9,1.8e-124,418.5,Helianthus annuus,A0T0B8Q1KXS9,Q1KXS9A0T0B8
38,P24673,Q6B8P0,5.4e-287,956.7,Gracilaria tenuistipitata var. liui,P24673Q6B8P0,Q6B8P0P24673
42,B7G267,B4Q5Z1,2.0e-23,88.7,Drosophila simulans,B7G267B4Q5Z1,B4Q5Z1B7G267
43,B7G267,B4HXL7,5.6e-23,87.2,Drosophila sechellia,B7G267B4HXL7,B4HXL7B7G267
44,B7G267,Q9V3Y2,7.4e-23,86.8,Drosophila melanogaster,B7G267Q9V3Y2,Q9V3Y2B7G267
45,B7G267,B4NYT3,8.5e-23,86.6,Drosophila yakuba,B7G267B4NYT3,B4NYT3B7G267
46,B7G267,B3N5N3,2.2e-22,85.2,Drosophila erecta,B7G267B3N5N3,B3N5N3B7G267
47,B7G267,B4MZ79,2.8e-22,84.9,Drosophila willistoni,B7G267B4MZ79,B4MZ79B7G267
48,B7G267,B4KLC0,6.4e-22,83.7,Drosophila mojavensis,B7G267B4KLC0,B4KLC0B7G267
49,B7G267,B4LRY2,1.6e-21,82.4,Drosophila virilis,B7G267B4LRY2,B4LRY2B7G267
50,B7G267,B4GK79,3.1e-21,81.4,Drosophila persimilis,B7G267B4GK79,B4GK79B7G267
51,B7G267,Q29P70,3.1e-21,81.4,Drosophila pseudoobscura pseudoobscura,B7G267Q29P70,Q29P70B7G267
52,B7G267,B3MLC5,6.0e-21,80.5,Drosophila ananassae,B7G267B3MLC5,B3MLC5B7G267
53,B7G267,Q4SK88,1.0e-20,79.8,Tetraodon nigroviridis,B7G267Q4SK88,Q4SK88B7G267
54,B7G267,C3YFB4,1.9e-20,78.9,Branchiostoma floridae,B7G267C3YFB4,C3YFB4B7G267
55,B7G267,A4IHR0,4.0e-20,77.8,Xenopus tropicalis,B7G267A4IHR0,A4IHR0B7G267
56,B7G267,O15692,4.4e-20,77.7,Dictyostelium discoideum,B7G267O15692,O15692B7G267
57,B7G267,Q5XID1,4.8e-20,77.6,Rattus norvegicus,B7G267Q5XID1,Q5XID1B7G267
58,B7G267,Q6FI81,5.3e-20,77.4,Homo sapiens,B7G267Q6FI81,Q6FI81B7G267
59,B7G267,B4JAX0,6.0e-20,77.2,Drosophila grimshawi,B7G267B4JAX0,B4JAX0B7G267
63,A0T0D6,B0JGK4,2.1e-25,93.0,Microcystis aeruginosa (strain NIES-843),A0T0D6B0JGK4,B0JGK4A0T0D6
64,A0T0D6,Q8YWL3,2.4e-23,86.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),A0T0D6Q8YWL3,Q8YWL3A0T0D6
65,A0T0D6,B1WZT9,2.9e-23,86.2,Crocosphaera subtropica (strain ATCC 51142 / BH68),A0T0D6B1WZT9,B1WZT9A0T0D6
66,A0T0D6,Q3M5D2,4.7e-23,85.6,Trichormus variabilis ATCC 29413,A0T0D6Q3M5D2,Q3M5D2A0T0D6
67,A0T0D6,B1XHW6,3.8e-22,82.7,Synechococcus sp. PCC 7002,A0T0D6B1XHW6,B1XHW6A0T0D6
68,A0T0D6,B7JWV1,4.3e-22,82.5,Rippkaea orientalis (strain PCC 8801),A0T0D6B7JWV1,B7JWV1A0T0D6
69,A0T0D6,A2BT63,2.9e-21,79.9,Prochlorococcus marinus (strain AS9601),A0T0D6A2BT63,A2BT63A0T0D6
70,A0T0D6,A3PEX6,3.9e-21,79.5,Prochlorococcus marinus (strain MIT 9301),A0T0D6A3PEX6,A3PEX6A0T0D6
71,A0T0D6,Q318Q5,4.7e-21,79.2,Prochlorococcus marinus (strain MIT 9312),A0T0D6Q318Q5,Q318Q5A0T0D6
72,A0T0D6,B7KG02,5.9e-21,78.9,Gloeothece citriformis (strain PCC 7424),A0T0D6B7KG02,B7KG02A0T0D6
73,A0T0D6,Q7TU38,6.9e-21,78.7,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),A0T0D6Q7TU38,Q7TU38A0T0D6
74,A0T0D6,A5GNH5,7.7e-21,78.5,Synechococcus sp. (strain WH7803),A0T0D6A5GNH5,A5GNH5A0T0D6
75,A0T0D6,A8G6Y8,1.4e-20,77.7,Prochlorococcus marinus (strain MIT 9215),A0T0D6A8G6Y8,A8G6Y8A0T0D6
76,A0T0D6,P73336,1.5e-20,77.6,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0D6P73336,P73336A0T0D6
77,A0T0D6,A2BYL3,3.7e-20,76.4,Prochlorococcus marinus str. MIT 9515,A0T0D6A2BYL3,A2BYL3A0T0D6
78,A0T0D6,B0C2C8,6.2e-20,75.6,Acaryochloris marina (strain MBIC 11017),A0T0D6B0C2C8,B0C2C8A0T0D6
83,A0T0L0,B2J6T8,1.1e-10,46.1,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A0T0L0B2J6T8,B2J6T8A0T0L0
84,A0T0L0,Q3MBE2,5.6e-10,43.9,Trichormus variabilis ATCC 29413,A0T0L0Q3MBE2,Q3MBE2A0T0L0
85,A0T0L0,Q8YMX2,1.1e-09,42.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),A0T0L0Q8YMX2,Q8YMX2A0T0L0
86,A0T0L0,Q10XV0,1.5e-09,42.5,Trichodesmium erythraeum (strain IMS101),A0T0L0Q10XV0,Q10XV0A0T0L0
87,A0T0L0,Q8R6M1,1.7e-09,42.3,Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4),A0T0L0Q8R6M1,Q8R6M1A0T0L0
88,A0T0L0,B5YEW9,2.6e-09,41.8,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12),A0T0L0B5YEW9,B5YEW9A0T0L0
89,A0T0L0,P51359,3.7e-09,41.2,Porphyra purpurea,A0T0L0P51359,P51359A0T0L0
90,A0T0L0,Q1XDC8,6.7e-09,40.4,Pyropia yezoensis,A0T0L0Q1XDC8,Q1XDC8A0T0L0
91,A0T0L0,B8E0J2,9.0e-09,40.0,Dictyoglomus turgidum (strain DSM 6724 / Z-1310),A0T0L0B8E0J2,B8E0J2A0T0L0
92,A0T0L0,C5D9X6,1.5e-08,39.3,Geobacillus sp. (strain WCH70),A0T0L0C5D9X6,C5D9X6A0T0L0
93,A0T0L0,P73636,1.6e-08,39.2,Synechocystis sp. (strain PCC 6803 / Kazusa),A0T0L0P73636,P73636A0T0L0
94,A0T0L0,A2BZ93,2.1e-08,38.8,Prochlorococcus marinus str. MIT 9515,A0T0L0A2BZ93,A2BZ93A0T0L0
95,A0T0L0,B1WU11,2.2e-08,38.8,Crocosphaera subtropica (strain ATCC 51142 / BH68),A0T0L0B1WU11,B1WU11A0T0L0
96,A0T0L0,B7JXP0,3.1e-08,38.3,Rippkaea orientalis (strain PCC 8801),A0T0L0B7JXP0,B7JXP0A0T0L0
97,A0T0L0,B1XP08,3.4e-08,38.2,Synechococcus sp. PCC 7002,A0T0L0B1XP08,B1XP08A0T0L0
98,A0T0L0,B0JSQ9,3.4e-08,38.2,Microcystis aeruginosa (strain NIES-843),A0T0L0B0JSQ9,B0JSQ9A0T0L0
99,A0T0L0,Q7NNH7,6.2e-08,37.3,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421),A0T0L0Q7NNH7,Q7NNH7A0T0L0
110,A0T0G3,Q9Z3H5,7.5e-35,124.1,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A0T0G3Q9Z3H5,Q9Z3H5A0T0G3
111,A0T0G3,Q0I801,1.3e-34,123.4,Synechococcus sp. (strain CC9311),A0T0G3Q0I801,Q0I801A0T0G3
112,A0T0G3,Q10ZG6,5.5e-34,121.3,Trichodesmium erythraeum (strain IMS101),A0T0G3Q10ZG6,Q10ZG6A0T0G3
113,A0T0G3,Q2JNE1,1.3e-33,120.1,Synechococcus sp. (strain JA-2-3B'a(2-13)),A0T0G3Q2JNE1,Q2JNE1A0T0G3
114,A0T0G3,Q5N597,2.0e-33,119.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A0T0G3Q5N597,Q5N597A0T0G3
115,A0T0G3,Q7VAN3,3.5e-33,118.7,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120),A0T0G3Q7VAN3,Q7VAN3A0T0G3
116,A0T0G3,B7JZA4,8.2e-33,117.6,Rippkaea orientalis (strain PCC 8801),A0T0G3B7JZA4,B7JZA4A0T0G3
