Hit,Protein1,Protein2,E,Score,Organism
1,A0T0B8,O78416,5.5e-128,430.0,Guillardia theta
2,A0T0B8,Q9TL31,1.8e-126,425.1,Nephroselmis olivacea
3,A0T0B8,P00165,1.1000000000000001e-125,422.5,Spinacia oleracea
4,A0T0B8,Q6YXN2,4.8e-125,420.4,Physcomitrium patens
5,A0T0B8,Q71KN3,4.9e-125,420.4,Klebsormidium bilatum
6,A0T0B8,Q4G3F8,6.800000000000001e-125,419.9,Emiliania huxleyi
7,A0T0B8,P06247,7.000000000000001e-125,419.9,Nicotiana tabacum
8,A0T0B8,Q49KW8,7.400000000000001e-125,419.8,Eucalyptus globulus subsp. globulus
9,A0T0B8,P06248,8.1e-125,419.7,Marchantia polymorpha
10,A0T0B8,P0C8M6,8.5e-125,419.6,Synechococcus elongatus
11,A0T0B8,P0C8M7,8.5e-125,419.6,Thermosynechococcus elongatus (strain BP-1)
12,A0T0B8,Q9MTJ5,9.200000000000001e-125,419.5,Oenothera elata subsp. hookeri
13,A0T0B8,Q09WY7,1.0000000000000001e-124,419.3,Morus indica
14,A0T0B8,P56773,1.3000000000000002e-124,419.0,Arabidopsis thaliana
15,A0T0B8,Q09ME7,1.7e-124,418.6,Citrus sinensis
16,A0T0B8,Q1KXS9,1.8e-124,418.5,Helianthus annuus
17,P24673,Q6B8P0,5.4e-287,956.7,Gracilaria tenuistipitata var. liui
18,B7G267,B4Q5Z1,2.0000000000000002e-23,88.7,Drosophila simulans
19,B7G267,B4HXL7,5.600000000000001e-23,87.2,Drosophila sechellia
20,B7G267,Q9V3Y2,7.4e-23,86.8,Drosophila melanogaster
21,B7G267,B4NYT3,8.5e-23,86.6,Drosophila yakuba
22,B7G267,B3N5N3,2.2e-22,85.2,Drosophila erecta
23,B7G267,B4MZ79,2.8000000000000004e-22,84.9,Drosophila willistoni
24,B7G267,B4KLC0,6.400000000000003e-22,83.7,Drosophila mojavensis
25,B7G267,B4LRY2,1.6e-21,82.4,Drosophila virilis
26,B7G267,B4GK79,3.1e-21,81.4,Drosophila persimilis
27,B7G267,Q29P70,3.1e-21,81.4,Drosophila pseudoobscura pseudoobscura
28,B7G267,B3MLC5,6e-21,80.5,Drosophila ananassae
29,B7G267,Q4SK88,1e-20,79.8,Tetraodon nigroviridis
30,B7G267,C3YFB4,1.9e-20,78.9,Branchiostoma floridae
31,B7G267,A4IHR0,4e-20,77.8,Xenopus tropicalis
32,B7G267,O15692,4.4e-20,77.7,Dictyostelium discoideum
33,B7G267,Q5XID1,4.8e-20,77.6,Rattus norvegicus
34,B7G267,Q6FI81,5.3e-20,77.4,Homo sapiens
35,B7G267,B4JAX0,6e-20,77.2,Drosophila grimshawi
36,A0T0D6,B0JGK4,2.1e-25,93.0,Microcystis aeruginosa (strain NIES-843)
37,A0T0D6,Q8YWL3,2.4e-23,86.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
38,A0T0D6,B1WZT9,2.9e-23,86.2,Crocosphaera subtropica (strain ATCC 51142 / BH68)
39,A0T0D6,Q3M5D2,4.7e-23,85.6,Trichormus variabilis ATCC 29413
