Hit,DB,Protein1,Protein2,Organism,Length,Score,Identities,Positives,E
1,swissprot,A0A386KZ50,A0A386KZ50,Pseudo-nitzschia multiseries,482,2578.0,100.00,100.00,0.0
2,swissprot,A0A386KZ50,A0A4D6IA24,Digenea simplex,439,1583.0,64.69,82.23,0.0
3,swissprot,A0A386KZ50,D8RNZ9,Selaginella moellendorffii,368,88.0,10.33,17.66,0.0896881
4,swissprot,A0A386KZ50,B8PD44,Postia placenta Mad-698-R,336,88.0,6.85,14.88,0.106628
5,swissprot,A0A386KZ50,Q65F80,Bacillus licheniformis DSM 13 = ATCC 14580,341,82.0,7.04,11.73,0.564319
6,swissprot,A0A386KZ50,H2IFE7,Vibrio sp. EJY3,480,81.0,6.25,9.79,0.909613
7,swissprot,A0A386KZ50,D9XD61,Streptomyces viridochromogenes DSM 40736,343,76.0,6.41,15.16,3.03703
8,swissprot,A0A386KZ50,A8NU13,Coprinopsis cinerea okayama7#130,345,74.0,5.22,11.59,4.51249
9,swissprot,A0A386KZ50,P0CO93,Cryptococcus neoformans var. neoformans B-3501A,1191,75.0,1.85,3.27,5.44285
10,swissprot,A0A386KZ50,P0CO92,Cryptococcus neoformans var. neoformans JEC21,1191,75.0,1.85,3.27,5.53679
1,swissprot,A0A386KZ95,A0A386KZ95,Pseudo-nitzschia multiseries,373,1976.0,100.00,100.00,0.0
2,swissprot,A0A386KZ95,A0A4D6IA61,Digenea simplex,360,1147.0,61.11,75.56,2.7906e-156
3,swissprot,A0A386KZ95,Q03047,Amycolatopsis lactamdurans,314,200.0,23.25,38.22,3.17136e-16
4,swissprot,A0A386KZ95,P42220,Streptomyces clavuligerus,318,183.0,19.81,34.91,6.18644e-14
5,swissprot,A0A386KZ95,P42219,Amycolatopsis lactamdurans,310,182.0,19.68,36.77,8.19978e-14
6,swissprot,A0A386KZ95,P18548,Streptomyces clavuligerus,311,169.0,19.94,33.44,4.45494e-12
7,swissprot,A0A386KZ95,Q9ZSA7,Arabidopsis thaliana,348,162.0,23.85,37.07,4.56268e-11
8,swissprot,A0A386KZ95,P11935,Acremonium chrysogenum,332,154.0,18.37,32.23,4.33698e-10
9,swissprot,A0A386KZ95,Q41452,Solanum tuberosum,349,149.0,23.78,36.10,1.78594e-09
10,swissprot,A0A386KZ95,O80449,Arabidopsis thaliana,353,143.0,22.38,32.01,1.1307e-08
11,swissprot,A0A386KZ95,Q07512,Petunia x hybrida,348,142.0,22.70,37.93,1.50644e-08
12,swissprot,A0A386KZ95,Q54243,Streptomyces griseus,329,140.0,23.71,40.43,2.25728e-08
13,swissprot,A0A386KZ95,P27744,Amycolatopsis lactamdurans,328,136.0,22.26,37.50,6.30961e-08
