Protein1,Protein2,DB,Organism,Length,Score,Identities,Positives,E
A0A386KZ50,A0A386KZ50,SP,Pseudo-nitzschia multiseries ,482,3167,100.0,100.0,2.9e-214
A0A386KZ50,A0A4D6IA24,SP,Digenea simplex ,439,1987,65.3,88.7,1.3e-131
A0A386KZ50,D8RNZ9,SP,Selaginella moellendorffii ,368,145,24.1,49.7,0.014
A0A386KZ50,H2IFE7,SP,Vibrio sp. (strain EJY3) ,480,120,29.4,55.9,1.1
A0A386KZ50,P57405,SP,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) ,491,121,20.8,52.6,1.3
A0A386KZ50,B8PD44,SP,Postia placenta (strain ATCC 44394 / Madison 698-R) ,336,114,18.6,52.9,1.8
A0A386KZ50,A0A348B790,SP,Postia placenta (strain ATCC 44394 / Madison 698-R) ,348,130,22.8,53.1,1.9
A0A386KZ50,Q9CGD4,SP,Lactococcus lactis subsp. lactis (strain IL1403) ,428,115,21.1,52.1,2.1
A0A386KZ50,A0A348B784,SP,Postia placenta (strain ATCC 44394 / Madison 698-R) ,342,129,22.8,52.6,2.1
A0A386KZ50,C0HAC0,SP,Salmo salar ,696,116,25.2,64.2,3.6
A0A386KZ50,P9WEY4,SP,Physarum polycephalum ,337,109,23.7,54.8,4.0
A0A386KZ50,Q02Z10,SP,Lactococcus lactis subsp. cremoris (strain SK11) ,426,111,20.8,52.1,4.0
A0A386KZ50,P0DL13,SP,Armillaria gallica ,345,107,28.3,60.9,5.7
A0A386KZ50,Q2K976,SP,Rhizobium etli (strain CFN 42 / ATCC 51251) ,405,108,21.9,52.1,6.1
A0A386KZ50,P38993,SP,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) ,636,111,21.5,47.5,7.0
A0A386KZ50,Q43124,SP,Brassica napus ,263,103,23.2,54.4,7.4
A0A386KZ50,Q00265,SP,Daucus carota ,365,108,22.5,47.1,8.5
A0A386KZ95,A0A386KZ95,SP,Pseudo-nitzschia multiseries ,373,2496,100.0,100.0,3.1e-167
A0A386KZ95,A0A4D6IA61,SP,Digenea simplex ,360,1497,64.0,83.0,2.6e-97
A0A386KZ95,Q03047,SP,Amycolatopsis lactamdurans ,314,300,26.1,56.5,1.4e-13
A0A386KZ95,P42219,SP,Amycolatopsis lactamdurans ,310,275,23.0,58.8,7.8e-12
A0A386KZ95,P42220,SP,Streptomyces clavuligerus ,318,269,23.2,55.4,2.1e-11
A0A386KZ95,P18548,SP,Streptomyces clavuligerus ,311,259,23.2,54.3,1e-10
A0A386KZ95,P11935,SP,Acremonium chrysogenum ,332,233,23.7,54.7,7.4e-09
A0A386KZ95,Q41452,SP,Solanum tuberosum ,349,268,28.1,53.8,2.9e-08
A0A386KZ95,P24397,SP,Hyoscyamus niger ,344,233,25.1,55.8,5.4e-08
A0A386KZ95,P27744,SP,Amycolatopsis lactamdurans ,328,236,25.8,56.2,1.1e-07
A0A386KZ95,Q9XHG2,SP,Malus domestica ,337,219,25.4,53.6,2.2e-07
A0A386KZ95,Q07512,SP,Petunia hybrida ,348,262,26.3,55.3,5.9e-06
A0A386KZ95,Q7XZQ6,SP,Petroselinum crispum ,337,231,26.5,55.7,9.1e-06
A0A386KZ95,Q84MB6,SP,Arabidopsis thaliana ,332,192,26.0,53.1,1.1e-05
A0A386KZ95,Q9M547,SP,Eustoma exaltatum subsp. russellianum ,334,238,25.9,52.2,1.1e-05
A0A386KZ95,A0A0S6XHQ0,SP,Fungal sp. (strain No.11243) ,368,183,23.1,51.9,2.7e-05
A0A386KZ95,F4KBY0,SP,Arabidopsis thaliana ,325,192,25.5,54.4,3.7e-05
A0A386KZ95,Q96323,SP,Arabidopsis thaliana ,356,225,27.0,55.9,0.00011
A0A386KZ95,Q8H113,SP,Arabidopsis thaliana ,357,169,24.0,54.3,0.00025
A0A386KZ95,P19464,SP,Persea americana ,320,189,24.7,50.7,0.00078
A0A386KZI3,A0A386KZI3,SP,Pseudo-nitzschia multiseries ,559,3723,100.0,100.0,0.0
A0A386KZI3,P10611,SP,Oryctolagus cuniculus ,510,639,29.2,57.5,4.5e-36
